Movie,Release Date,Domestic Box Office,Inflation Adjusted Domestic,International Box Office,World Wide Box Office,Opening Weekend,Budget,IMDb Score,Meta Score,Tomatometer,Rotten Tomato Audience Score,Run Time In Minutes,Phase,Director
Iron Man,5/2/2008,318604126,467231126,266567421,585171547,102118668,186000000,7.9,79,94,91,126,One,Jon Favreau
The Incredible Hulk,6/13/2008,134806913,197704288,130766946,265573859,55414050,137500000,6.6,61,67,69,112,One,Louis Leterrier
Iron Man 2,5/7/2010,312433331,416973763,308723058,621156389,128122480,170000000,6.9,57,72,71,124,One,Jon Favreau
Thor,5/6/2011,181030624,240384926,268295994,449326618,65723338,150000000,7,57,77,76,115,One,Kenneth Brangh
Captain America: The First Avenger,7/22/2011,176654505,234574020,193915271,370569776,65058524,140000000,6.9,66,80,75,124,One,Joe Johnston
The Avengers,5/4/2012,623357910,824617936,891742301,1515100211,207438708,225000000,8,69,91,91,143,One,Joss Whedon
Iron Man 3,5/3/2013,408992272,529727993,806400000,1215392272,174144585,200000000,7.1,62,79,78,130,Two,Shane Black
Thor: The Dark World,11/8/2013,206362140,267262372,438240376,644602516,85737841,150000000,6.8,54,67,75,112,Two,Alan Taylor
Captain America: The Winter Soldier,4/4/2014,259746958,334777900,454654931,714401889,95023721,170000000,7.7,70,90,92,132,Two,Anthony and Joe Russo
Guardians of The Galaxy,8/1/2014,333714112,430014621,437168283,770882395,94320883,170000000,8,76,92,92,121,Two,James Gunn
Avengers: Age of Ultron,5/1/2015,459005868,573348960,936311111,1395316979,191271109,365000000,7.3,66,76,82,141,Two,Joss Whedon
Ant-Man,7/17/2015,180202163,225092376,338656286,518858449,57225526,130000000,7.3,64,83,85,117,Two,Peyton Reed
Captain America: Civil War,5/6/2016,408084349,496777822,743815237,1151899586,179139142,250000000,7.8,75,90,89,147,Three,Anthony and Joe Russo
Doctor Strange,11/4/2016,232641920,283094491,443701254,676343174,85058311,165000000,7.5,72,89,86,115,Three,Scott Derrickson
Guardians of the Galaxy Vol. 2,5/5/2017,389813101,457606675,479274862,869087963,146510104,200000000,7.6,67,85,87,136,Three,James Gunn
Spider-Man: Homecoming,7/7/2017,334201140,392323076,544070151,878271291,117027503,175000000,7.4,73,92,87,133,Three,Jon Watts
Thor: Ragnarok,11/3/2017,315058289,369781873,535424489,850482778,122744989,180000000,7.9,74,93,87,130,Three,Taika Waititi
Black Panther,2/16/2018,700059566,809179714,636434754,1336494320,202003951,200000000,7.3,88,96,79,134,Three,Ryan Coogler
Avengers Infinity War,4/27/2018,678815482,784624259,1369544272,2048359754,257698183,300000000,8.4,68,85,92,149,Three,Anthony and Joe Russo
Ant-Man and the Wasp,7/6/2018,216648740,250418353,406495920,623144660,75812205,130000000,7,70,87,80,118,Three,Peyton Reed
Captain Marvel,3/8/2019,426829839,490667926,702746255,1129576094,153433423,175000000,6.8,64,79,45,123,Three,Anna Boden & Ryan Fleck
Avengers: Endgame,4/26/2019,858373000,986754117,1930539285,2788912285,357115007,400000000,8.4,78,94,90,181,Three,Anthony and Joe Russo
Spider-Man: Far From Home,7/2/2019,390532085,448941359,741575437,1132107522,92579212,160000000,7.4,69,90,95,129,Three,Jon Watts
Black Widow,7/9/2021,183651655,185947301,196099476,379751131,80366312,200000000,6.7,68,79,91,134,Four,Cate Shortland
Shang-Chi and the Legend of the Ten Rings,9/3/2021,224543292,227350082,207681342,432224634,75388688,150000000,7.4,71,92,98,132,Four,Destin Daniel Cretton
Eternals,11/5/2021,164870264,166928942,236861495,401731759,71297219,200000000,6.3,52,47,77,156,Four,Chloe Zhao
Spider-Man: No Way Home,12/17/2021,814115070,821277378,1093721184,1907836254,260138569,200000000,8.2,71,93,98,148,Four,Jon Watts
Doctor Strange in the Multiverse of Madness,5/6/2022,411331607,411331607,540893379,952224986,187420998,200000000,6.9,60,73,85,126,Four,Sam Raimi
Thor: Love and Thunder,7/8/2022,343256830,343256830,417671251,760928081,144165107,250000000,6.2,57,63,76,118,Four,Taika Waititi
Black Panther: Wakanda Forever,11/11/2022,453829060,453829060,400156486,853985546,181339761,250000000,6.7,67,83,94,161,Four,Ryan Coogler
Ant-Man and the Wasp: Quantumania,2/17/2023,214506909,214506909,249128394,463635303,106109650,200000000,6.1,48,46,82,124,Five,Peyton Reed
Guardians of the Galaxy Vol. 3,5/5/2023,358995815,358995815,486472929,845468744,118414021,250000000,7.9,64,82,94,150,Five,James Gunn
The Marvels,11/10/2023,84500223,84500223,115206027,199706250,46110859,274800000,5.7,50,62,82,105,Five,Nia DaCosta
